Sentimen;Text;
negatif;Makanan bergizi gratis jangan sampai disunat Biar tetap sesuai standar nilai gizinya generasi kita jangan sampai dikasih makan ampas doang karena anggaran disunat demi cuan;
negatif;Buzzer seperti kamu tidak pernah tahu dan tidak mau tahu masih ada keluarga seperti ini yang tidak bisa rutin untuk makan Makan bergizi gratis sangat membantu masyarakat;
negatif;Oh mungkin lagi buru-buru mau ke acara kasi makan bergizi gratis tapi bayar;
positif;Tak Perlu Program Makan Gratis Bergizi Jika Harga Sembako Dan Kebutuhan Pokok Murah Otomatis Anakanak Akan Tercukupi Nutrisinya;
negatif;Program Makan Bergizi Gratis Manfaat bagi Siswa tetapi Tantangan Pedagang Kantin;
negatif;Makan bergizi gratis mega peluang semua pihak dari petani sampai pelaku UMKM bisa merasakan manfaat;
negatif;Makan gratis apa makan bergizi kalo gratis siapa yg gratiskan  dari mana uangnya;
positif;Keren banget Semoga program makan bergizi gratis ini bisa membantu mengurangi angka gizi buruk di Indonesia;
negatif;inimah harusnya sarapan bergizi gratis bukan makan siang gratis;
positif;ya berarti naikin harga rokok sidak tuh yang pembuat pengedar dan penjual rokok ilegal rendahin harga bahan pokok atau gantiin program makan siang gratis nih dengan sembako murah dan bergizi;
negatif;Hanya mengingatkan saja bahwa program makan bergizi itu berpotensi untuk menaikan harga-harga paham pokok karena memprioritaskan untuk logistik program ini oleh karena itu persiapan program ini tanpa mengganggu pasar jangan sampai anaknya makan pagi g;
positif;Makan bergizi gratis dorong ekonomi salute buat semua pihak yang saling kolaborasi dari petani sampai ahli gizi;
negatif;Daaann pahlawan kesorean pun muncul dengan semangat membara karena anonim membela program amburadul yang bernama  Makan Siang BergiziGratis;
positif;Makan bergizi gratis jadi solusi mutakhir perekonomian semua peran dari penyedia sayur sampai ahli gizi penting;
negatif;Program makan bergizi gratis jaminan ekonomi lokal bergerak semua saling bantu dari petani sampai ahli gizi;
positif;Makan bergizi gratis bisa bantu negeri dari petani sampai UMKM bisa dapetin manfaat positifnya;
positif;Makan bergizi gratis bantu ekonomi rakyat sinergi antara petani UMKM dan ahli gizi sangat dibutuhkan;
negatif;Teruntuk Pak Wowo plisss Pak nggak papa banget kok kalo program makan gratis yang katanya bergizi  ini dihentikan gak papa nggak usah malu daripada dipaksain tambah mengkis susah napas ini Pak APBNnya   rakyat Indo juga ikutan mengkis karena pajak hah;
positif;Semuanya ikut andil di program makan bergizi gratis dampaknya ke ekonomi daerah terasa signifikan;
positif;Program makan bergizi gratis dorong roda ekonomi kolaborasi dari petani UMKM hingga ahli gizi terbukti sukses;
positif;Program makan bergizi gratis angkat derajat ekonomi kolaborasi dari petani hingga ahli gizi membuat semua jadi mungkin;
positif;Gerakan makan bergizi gratis bikin kita makin kompak Kesehatan dapet ekonomi juga ikut terangkat;
positif;Program makan bergizi gratis support ekonomi dari petani penyedia hingga ahli gizi jadi satu;
negatif;coba buka fb aja kak gada nyesel mereka apalagi ditambah makan gratis bergizi itu kepala batu semua udah isinya orang tolol ditambah tiap hari dicekokin buzzer gabakal menang kalo bahas presiden yang mulia disana;
positif;Wah keren banget nih program makan bergizi gratis di sekolah Semoga bisa jadi inspirasi buat sekolah lain ya;
