Sentimen;teks_stemmed
negatif;makan bergizi gratis jangan sampai sunat biar tetap sesuai standar nilai gizi generasi kita jangan sampai kasih makan ampas doang karena anggar sunat demi cuan
negatif;buzzer seperti kamu tidak pernah tahu dan tidak mau tahu masih ada keluarga seperti ini yang tidak bisa rutin untuk makan makan bergizi gratis sangat bantu masyarakat
negatif;oh mungkin lagi buru mau ke acara kasi makan bergizi gratis tapi bayar
positif;tak perlu program makan gratis bergizi jika harga sembako dan butuh pokok murah otomatis anakanak akan cukup nutrisi
negatif;program makan bergizi gratis manfaat bagi siswa tetapi tantang dagang kantin
negatif;makan bergizi gratis mega peluang semua pihak dari tani sampai laku umkm bisa rasa manfaat
negatif; makan gratis apa makan bergizi kalo gratis siapa yg gratis dari mana uang
positif; keren banget moga program makan bergizi gratis ini bisa bantu kurang angka gizi buruk di indonesia
negatif; inimah harus sarap bergizi gratis bukan makan siang gratis
positif;  ya arti naikin harga rokok sidak tuh yang buat edar dan jual rokok ilegal rendahin harga bahan pokok atau gantiin program makan siang gratis nih dengan sembako murah dan bergizi
negatif;  hanya ingat saja bahwa program makan bergizi itu potensi untuk naik harga paham pokok karena prioritas untuk logistik program ini oleh karena itu siap program ini tanpa ganggu pasar jangan sampai anak makan pagi g
positif;  makan bergizi gratis dorong ekonomi salute buat semua pihak yang saling kolaborasi dari tani sampai ahli gizi
negatif;  daaann pahlawan sore pun muncul dengan semangat bara karena anonim bela program amburadul yang nama makan siang bergizigratis
positif;  makan bergizi gratis jadi solusi mutakhir ekonomi semua peran dari sedia sayur sampai ahli gizi penting
negatif;  program makan bergizi gratis jamin ekonomi lokal gerak semua saling bantu dari tani sampai ahli gizi
positif;  makan bergizi gratis bisa bantu negeri dari tani sampai umkm bisa dapetin manfaat  
positif;  makan bergizi gratis bantu ekonomi rakyat sinergi antara tani umkm dan ahli gizi sangat butuh
negatif;  untuk pak wowo plisss pak nggak papa banget kok kalo program makan gratis yang kata bergizi ini henti gak papa nggak usah malu daripada dipaksain tambah mengkis susah napas ini pak apbnnya rakyat indo juga ikut mengkis karena pajak hah
positif;  semua ikut andil di program makan bergizi gratis dampak ke ekonomi daerah asa signifikan
positif;  program makan bergizi gratis dorong roda ekonomi kolaborasi dari tani umkm hingga ahli gizi bukti sukses
positif;  program makan bergizi gratis angkat derajat ekonomi kolaborasi dari tani hingga ahli gizi buat semua jadi mungkin
positif;  gera makan bergizi gratis bikin kita makin kompak sehat dapet ekonomi juga ikut angkat
positif;  program makan bergizi gratis support ekonomi dari tani sedia hingga ahli gizi jadi satu
negatif;  coba buka fb aja kak gada nyesel mereka apalagi tambah makan gratis bergizi itu kepala batu semua udah isi orang tolol tambah tiap hari dicekokin buzzer gabakal menang kalo bahas presiden yang mulia sana
positif;  wah keren banget nih program makan bergizi gratis di sekolah moga bisa jadi inspirasi buat sekolah lain ya
positif;  makan bergizi gratis mbg kurang msg tapi ga pake msg pun sehat
negatif;  memang ada yg caci makan ada cela menu makan bergizi gratis prof lagi musim
negatif;  ini program yang janji waktu kampanyeprogram makan bergizi gratis colok lagi 5 tahun kemudian
negatif;  udah bener itu mbg makan bergizi gratis untuk orang yang lagi di rawat inap
positif;  program makan bergizi gratis adalah solusi jangka panjang untuk baik gizi nasional
positif;  justru yg perlu tingkat sejahtera rakyat cuiy kalo ortu pnya kerja harga bahan pangan jangkau didik gratis gt
negatif;  program makan bergizi gratis yang mulai sejak senin jadi sorot banyak pihak jumlah siswa keluh soal sayur yang mereka makan asa pahit dan agak kecut ada pula yang kecewa karena tak dapat susu seperti yang janji
negatif;  gak tepat sasaransekolah swasta kok dapat makan gratisorangtuanya kan mampu bayar spp ratus ribujd pasti mampu beliin makan bergizi utk anak
negatif;  saya ketemu satu akun di ig yang bahas lambat paket makan ada video siswa yang wawancara isi komennya salah anak ndak sarap ortu ndak siapin sarap anak karena ndak syukur ortu dan anak karena ini makan bergizi gra
positif;  senang lihat program makan bergizi gratis sudah jalan jika lapang msh ada kurang ya tinggal baik terus terus nama juga program baru banyak vidio yg viral di bagai medsos ucap terima kasih ke perintah sehat terus ajar indonesia
negatif;  makan bergizi gratis hanya akan jadi kotor tanpa dukung ada ajar yang baik dan tepat
positif;  makan bergizi gratis tidak ada jamin jadi sdm kualitas sdm kualitas tentu bentuk oleh ajar yang baik dan tepat
negatif;  emang masih ga masuk akal aja program ini tuh kalau makan bergizi untuk ibu hamil balita dan fakir miskin masih bisa cerna tpi kalau makan gratis untuk anak sekolah kyk jir ga masuk akal lah poko
negatif;  selamat nikmat makan bergizi gratis tapi ga gratis
negatif;  lah yang rohingya aja sampek sekarang masih antri laut mau masuk konoha aman2 aja kok malah jemput beri makan bergizi gratis kalo bisa
negatif;  maksud confirm di sini mau tekan kalo program makan siang yang beneran bergizi dan beneran gratis untuk skala nasional itu program absurd utama kalo diterapin di indo
negatif;  ini tunjuk apa bahwa makan siang ini hanya bisa nikmat untuk anak yg sekolah saja terus bagaimana dengan anak2 yg tidak sekolah atau putus sekolah apa mereka gak hak dapat makan siang bergizi yg kata gratis i
negatif;  tiap hari makan bergizi gratis anggar bisa jebol udah buat tiga hari aja tapi benar2 enak dari pada gin yang ada bawa pulang dengan dalih buat ibu asli kagak doyan anak2
negatif;  ga usah dinamain makan bergizi gratis dinamain makan gratis aja udah
negatif;  justru dari makan siang gratis untuk cegah stunting aja udah aneh cegah stunting harus laku jauh belum itu aku lebih sepakat cegah stunting laku dengan beri bantu dan aksesibilitas hadap calon ibu untuk akses makan bergizi
negatif;  sulit butuh makan bergizi gratis
negatif;  janji program makan gratis sempet ngomong kita gak punya uang yang bergizi itu dana dari china tapi ngakunya uang pribadi
negatif;  ini konteks nya makan gratis atau makan gratis yg bergizi
positif;  makan bergizi gratis adalah langkah nyata dalam kurang stunting
negatif;  makanyaa gue beneri otak lu itu emang program makan bergizi gratis program perintah pak prabowo trs ada kurang di makan nya kan beliau gk tw trs elu dengan pemkiran yg dangkal elu pcya aja omong si
negatif;  guru kan juga mau makan siang gratis dan yg pasti lebih bergizi
positif;  lebih takut kalau tibatiba dikirimin minggu full katering makan bergizi gratis
negatif;  jd cuma segitu doang hasil kerja ahli gizi negara ini untuk beri makan siang gratis yg kata bergizi itu lawaaaak
negatif;  justru karena udah pernah ngerasain hidup susah sampai makan nasi cuma sama garam makanya bisa protes ada perintah yang kata mau bikin program makan siang gratis yang bergizi tapi kasih justru nggak sesuai harap jangan goblok banget dah lu
negatif;  makan bergizi gratis kok bayar
negatif;  seperti ini makan bergizi gratis yg aku mau
negatif;  masuk utk perintah supaya program makan bergizi gratis baik
negatif;  terlalu jauh kak kalo banding sama korea ini budgetnya kecil bgt bgt soal kaya yg penting teralisasikan mau makan gimana juga yg penting jadi ni agenda makan siang gratis yg tidak bergizi ini
negatif;  program makan bergizi gratis ini terlalu cepet implementasi sih kata gua entah riset apa yg udah mereka lakuin pada nyata bom cukup dijadiin dasar buat ngasih program ini ke anak2 distribusi telat porsi makan yg beda2 tiap daerah jumlah kalori dll
positif;  karena qodari harus laku suap makan gratis bergizi yg pertama
negatif;  iya bantu klo tepat sasar lah ini ada sekolah swasta yg bisa d bilang cukup bagus d kasi makan gratis mana pasti makan d rumah lebih enak dan bergizi ya memang klo buat program ga langsung sempurna tapi minimal di kaji dg baik lahh output dan sasar nya gimana
negatif;  kalau yang ini betul cateringnya waras sedang catering makan bergizi gratis di daerah lain banyak yang gak waras
negatif;  telah banyak foto menu2 makan bergizi gratis aku tunggu berita tidak bayar vendor2 dan carutmarut lain sampai ada yang ditangkep kpk karena korupsi xxx rupiah per menu makan per hari
negatif;  ini baru nama nya mbg yg betulmakan gratis bergizi jabat
negatif;  mantap makan gratis bergizisemoga pengaruh sama prestasi dan naik iq generasi terus bangsa yg saat ini posisi sangat rendah sekali
negatif;  belum ada makan bergizi gratis siapa terima manfaat program makan gratis jawab wartawan bodrex buat yang ngerti aja
positif;  mbg bagai kick off hasil gotong royong warga mengapa tidak
negatif;  makan bergizi gratis usaha dikorea hihi
